Месяц,Торговое наименование,МНН / Действ. вещества,Лек. форма,Страна производителя,Фармако-терапевтическая группа,ЖНВЛП,ПККН,Характер,flag,Кол-во
2023-01-31,l-лизина эсцинат,эсцина лизинат,раствор,РОССИЯ,ангиопротекторное средство,Нет,Нет,,l-лизина эсцинатраствор,42.0
2024-01-31,l-лизина эсцинат,эсцина лизинат,раствор,РОССИЯ,ангиопротекторное средство,Нет,Нет,,l-лизина эсцинатраствор,47.0
2024-09-30,l-лизина эсцинат,эсцина лизинат,раствор,РОССИЯ,ангиопротекторное средство,Нет,Нет,,l-лизина эсцинатраствор,50.0
2023-01-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,97.0
2023-04-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,101.0
2023-06-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,87.0
2023-08-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,75.0
2023-09-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,74.0
2023-10-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,74.0
2023-12-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,73.0
2024-01-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,66.0
2024-04-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,58.0
2024-06-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,36.0
2024-08-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,38.0
2024-09-30,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,44.0
2024-10-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,41.0
2024-12-31,абакавир,абакавир,раствор,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавирраствор,46.0
2023-04-30,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,88.0
2023-06-30,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,96.0
2023-08-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,80.0
2023-10-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,87.0
2023-12-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,87.0
2024-01-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,82.0
2024-04-30,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,83.0
2024-06-30,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,75.0
2024-08-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,72.0
2024-09-30,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,72.0
2024-10-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,64.0
2024-12-31,абакавир,абакавир,таблетки,РОССИЯ,противовирусное [ВИЧ] средство,Да,Нет,,абакавиртаблетки,72.0
2023-02-28,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,108.0
2023-03-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,116.0
2023-04-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,111.0
2023-07-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,102.0
2023-08-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,101.0
2023-09-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,97.0
2023-10-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,85.0
2023-11-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,98.0
2024-02-29,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,69.0
2024-03-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,72.0
2024-04-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,76.0
2024-07-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,69.0
2024-08-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,72.0
2024-09-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,55.0
2024-10-31,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,66.0
2024-11-30,авекорт,мометазон,мазь для наружного применения,РОССИЯ,глюкокортикостероид для местного применения,Да,Нет,,авекортмазь для наружного применения,72.0
2023-02-28,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,134.0
2023-04-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,115.0
2023-06-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,119.0
2023-07-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,131.0
2023-08-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,112.0
2023-11-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,106.0
2023-12-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,94.0
2024-01-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,98.0
2024-02-29,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,65.0
2024-04-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,68.0
2024-06-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,66.0
2024-07-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,69.0
2024-08-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,антибактериальные средства системного действия; производные хинолона; фторхинолоны,Да,Нет,,авелокстаблетки,67.0
2024-11-30,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,50.0
2024-12-31,авелокс,моксифлоксацин,таблетки,ИТАЛИЯ,противомикробное средство - фторхинолон,Да,Нет,,авелокстаблетки,72.0
2024-01-31,агемфил а,фактор свертывания крови viii,раствор,РОССИЯ,гемостатическое средство,Да,Нет,,агемфил араствор,56.0
2023-02-28,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,51.0
2023-03-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,34.0
2023-04-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,39.0
2023-06-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,28.0
2023-07-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,26.0
2023-08-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,19.0
2023-09-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,23.0
2023-10-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,21.0
2023-11-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,4.0
2024-01-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,9.0
2024-02-29,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,8.0
2024-03-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,9.0
2024-04-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,1.0
2024-06-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,10.0
2024-07-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,1.0
